id,codigo_curriculo,codigo_ingresso,periodo_ingresso,forma_ingresso,codigo_evasao,forma_evasao,periodo_evasao,evadiu_periodo,forma_saida,acao_afirmativa,tipo_reserva_vagas,forma_reserva_vagas,sexo,codigo_cor,nome_cor,idade_ingresso,idade_evasao,tipo_ensino_medio,ensino_medio,apv_media_geral
O379750,1990,1,1983.1,VESTIBULAR,1,GRADUADO,1990.1,15,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,26,NA,Não informado,590
Z380338,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1990.2,14,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,653
Y019446,1990,1,1984.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1990.1,13,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,650
G182388,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1987.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,658
O097633,1990,1,1984.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1985.2,4,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,NA
W141500,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1988.1,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,653
A244108,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1989.2,12,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,729
N156531,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1988.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,637
I353528,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1988.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,20,24,NA,Não informado,700
Q341793,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1987.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,708
D012086,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1987.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,661
W134727,1990,1,1984.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1984.1,1,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,NA
R281925,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1989.1,11,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,652
Y170295,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1988.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,660
C334956,1990,1,1984.1,VESTIBULAR,1,GRADUADO,1989.1,11,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,22,27,NA,Não informado,661
E199047,1990,1,1984.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1990.2,14,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,0,0,NA,Não informado,640
M192553,1990,1,1984.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1988.2,10,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,NA
Y345116,1990,1,1985.1,VESTIBULAR,1,GRADUADO,1987.2,6,Graduado,Não,1,Sem Reserva De Vagas,Masculino,1,Branca,16,18,NA,Não informado,800
W106150,1990,1,1985.1,VESTIBULAR,1,GRADUADO,1989.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,745
X044765,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.2,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,22,26,NA,Não informado,589
B254952,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2000.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,17,20,NA,Não informado,743
V270608,1990,1,1997.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1999.1,5,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,19,21,NA,Não informado,743
G144219,1990,1,1997.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1998.1,3,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,20,NA,Não informado,731
F193777,1990,1,1996.1,VESTIBULAR,1,GRADUADO,2000.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,644
E214683,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2000.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,22,NA,Não informado,718
T140068,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2001.2,10,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,675
L071455,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2000.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,22,NA,Não informado,669
J100495,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2000.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,21,NA,Não informado,658
A198019,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2001.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,23,27,NA,Não informado,625
W027027,1990,1,1996.1,VESTIBULAR,1,GRADUADO,2000.1,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,19,23,NA,Não informado,643
U193835,1990,1,1996.1,VESTIBULAR,1,GRADUADO,2000.1,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,22,NA,Não informado,641
S294206,1990,1,1996.1,VESTIBULAR,1,GRADUADO,2000.1,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,22,NA,Não informado,639
D316013,1990,1,1996.1,VESTIBULAR,1,GRADUADO,1999.2,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,20,23,NA,Não informado,637
